clip_id,source,true_label,q_skel,q_int,q_obj,q_po,q_valid,gqs_composite,w_skel,w_int,w_obj,w_vit,prob__E_full_qgf,prob__E_full_lw,prob__E_full_qgf_fixed
fight_0002_w00,CCTV,1,0.21875,0.03125,0.65625,0.1875,0.21875,0.1375,0.25094303488731384,0.18613295257091522,0.28004202246665955,0.28288203477859497,0.0690717101097107,0.03562242165207863,0.03484814614057541
fight_0002_w02,CCTV,1,0.65625,0.1875,0.59375,0.5,0.65625,0.4375,0.2482248842716217,0.17593057453632355,0.22138193249702454,0.354462593793869,0.9590682983398438,0.9755075573921204,0.9785642623901367
fight_0002_w03,CCTV,1,0.5625,0.0625,0.375,0.28125,0.5625,0.30625,0.23105724155902863,0.17553068697452545,0.2085682451725006,0.3848437964916229,0.9581921100616455,0.9701484441757202,0.9773144125938416
fight_0002_w05,CCTV,1,0.875,0.5625,0.6875,0.6875,0.875,0.7125000000000001,0.22652611136436462,0.17711709439754486,0.19771996140480042,0.3986368775367737,0.9638778567314148,0.9765282273292542,0.9820361733436584
fight_0002_w06,CCTV,0,0.0625,0.0,0.40625,0.0625,0.0625,0.037500000000000006,0.2546185851097107,0.18570464849472046,0.28636234998703003,0.27331438660621643,0.0723295658826828,0.07757607102394104,0.04097221791744232
fight_0005_w00,CCTV,1,0.875,0.625,0.9375,0.875,0.875,0.7750000000000001,0.25725242495536804,0.1866457164287567,0.23758506774902344,0.3185167908668518,0.9520106911659241,0.9749000072479248,0.9734628796577454
fight_0005_w01,CCTV,1,0.875,0.3125,0.75,0.6875,0.875,0.6125,0.24964295327663422,0.175022155046463,0.21495406329631805,0.3603808283805847,0.9608871340751648,0.9748823046684265,0.979184627532959
fight_0005_w03,CCTV,1,0.90625,0.65625,0.84375,0.84375,1.0,0.79375,0.2567504346370697,0.1755964457988739,0.21136800944805145,0.35628512501716614,0.6292873620986938,0.642768383026123,0.3584159314632416
fight_0005_w04,CCTV,1,0.46875,0.125,0.4375,0.28125,0.84375,0.29375,0.23320366442203522,0.17873917520046234,0.2314881682395935,0.35656893253326416,0.9163299202919006,0.9500123262405396,0.943823516368866
fight_0005_w05,CCTV,1,0.6875,0.3125,0.8125,0.6875,0.84375,0.5375000000000001,0.2539574205875397,0.18844281136989594,0.24255046248435974,0.31504932045936584,0.9031044840812683,0.9402304291725159,0.851612389087677
fight_0005_w06,CCTV,0,1.0,1.0,1.0,1.0,1.0,1.0,0.20440535247325897,0.24363945424556732,0.2717060446739197,0.28024914860725403,0.05751689895987511,0.024576522409915924,0.023913199082016945
fight_0005_w07,CCTV,0,0.90625,0.53125,0.96875,0.875,0.90625,0.7500000000000001,0.2572821080684662,0.18301036953926086,0.2358008623123169,0.3239066004753113,0.9126274585723877,0.9420375823974609,0.9346065521240234
fight_0005_w08,CCTV,0,1.0,0.8125,0.90625,0.90625,1.0,0.9062500000000001,0.2365734875202179,0.1752130687236786,0.19820430874824524,0.39000916481018066,0.953007698059082,0.9623727798461914,0.9733744263648987
fight_0005_w09,CCTV,0,0.90625,0.46875,0.96875,0.9375,0.9375,0.7375,0.26402100920677185,0.18625758588314056,0.22905440628528595,0.32066696882247925,0.4137168824672699,0.4822377562522888,0.11609010398387909
fight_0005_w10,CCTV,0,1.0,0.96875,1.0,1.0,1.0,0.9875,0.2654401361942291,0.18336071074008942,0.22578178346157074,0.3254174292087555,0.934417188167572,0.9621607065200806,0.9643791913986206
fight_0005_w11,CCTV,0,0.9375,0.6875,0.9375,0.9375,0.9375,0.8375,0.26706546545028687,0.18183468282222748,0.22323772311210632,0.32786205410957336,0.8706498146057129,0.9207915663719177,0.7041743993759155
fight_0006_w00,Mobile,1,1.0,1.0,1.0,1.0,1.0,1.0,0.20440535247325897,0.24363945424556732,0.2717060446739197,0.28024914860725403,0.06940782070159912,0.02551167830824852,0.030377989634871483
fight_0006_w03,Mobile,1,1.0,1.0,1.0,1.0,1.0,1.0,0.20440535247325897,0.24363945424556732,0.2717060446739197,0.28024914860725403,0.09017252177000046,0.04433170706033707,0.0354270301759243
fight_0007_w00,CCTV,1,1.0,0.84375,1.0,1.0,1.0,0.9375,0.2670237720012665,0.18187394738197327,0.22330302000045776,0.3277992308139801,0.9289391040802002,0.9611053466796875,0.9601991772651672
fight_0007_w01,CCTV,1,1.0,0.8125,1.0,1.0,1.0,0.925,0.26704466342926025,0.18185429275035858,0.22327031195163727,0.3278307616710663,0.9429596662521362,0.9634827971458435,0.9644982814788818
fight_0007_w04,CCTV,1,0.96875,0.90625,1.0,0.96875,0.96875,0.94375,0.24745173752307892,0.19224315881729126,0.2525450587272644,0.3077600300312042,0.16464091837406158,0.11727681756019592,0.038838524371385574
fight_0007_w05,CCTV,1,1.0,0.90625,1.0,1.0,1.0,0.9625000000000001,0.26690253615379333,0.18198804557323456,0.2234928011894226,0.3276166021823883,0.0385720357298851,0.029602892696857452,0.01950685866177082
fight_0007_w06,CCTV,0,1.0,0.71875,1.0,1.0,1.0,0.8875,0.26707109808921814,0.18182942271232605,0.22322893142700195,0.32787054777145386,0.9420053958892822,0.9732964038848877,0.970361590385437
fight_0007_w07,CCTV,0,1.0,0.875,1.0,1.0,1.0,0.95,0.26698532700538635,0.18191012740135193,0.22336320579051971,0.3277413249015808,0.9318238496780396,0.9679939150810242,0.9623638391494751
fight_0007_w08,CCTV,0,0.0,0.0,0.125,0.0,0.0,0.0,0.2571953237056732,0.18377262353897095,0.292533278465271,0.26649874448776245,0.06317280232906342,0.030355384573340416,0.04036629572510719
fight_0007_w09,CCTV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20440535247325897,0.24363945424556732,0.2717060446739197,0.28024914860725403,0.04876863583922386,0.03036058135330677,0.030625980347394943
fight_0014_w00,CCTV,1,1.0,1.0,1.0,1.0,1.0,1.0,0.20440535247325897,0.24363945424556732,0.2717060446739197,0.28024914860725403,0.9352124929428101,0.9761294722557068,0.9570070505142212
